feature,importance,std,model
Annual Income (USD),1.4423421042450455,0.024927490578505837,primary
Credit Score,0.6475394489634525,0.007573396622645169,primary
Existing Monthly Debt (USD),0.3363451126182999,0.0020062488833771865,primary
Down Payment (USD),0.03280598111806632,0.0005954783699773207,primary
Annual Income (USD),1.4291834411134343,0.024827104956925056,full
Credit Score,0.6468697492255671,0.007694528209599091,full
Existing Monthly Debt (USD),0.33190616980211934,0.0020339572024621485,full
Down Payment (USD),0.03256270102888988,0.0005908908306568799,full
Employment Years,4.670461908964363e-05,1.3285457347462641e-05,full
Gender,2.7241776031305954e-06,1.5199378841736911e-05,full
Age,1.7191789868364893e-06,2.003756589968771e-05,full
Area,-8.898008874569374e-06,1.0973383428758953e-05,full
Education,-1.0562741788178176e-05,1.0481722805037498e-05,full
Loans Repaid,-1.5593746453523848e-05,2.4788715734077573e-05,full
Married,-3.4124930963796986e-05,1.9757093175853413e-05,full
Job,-3.6933462180310794e-05,1.5648602548282716e-05,full
